224,189,400,189,400,220,224,220,0.9988489
192,333,336,333,336,347,192,347,0.9987921
192,355,320,355,320,369,192,369,0.99877006
400,451,432,451,432,469,400,469,0.99853253
192,375,352,375,352,388,192,388,0.9983876
192,315,288,315,288,329,192,329,0.99827623
192,464,240,464,240,481,192,481,0.998145
304,459,400,459,400,481,304,481,0.9979063
272,416,432,416,432,434,272,434,0.99724233
192,392,448,392,448,419,192,419,0.9967913
192,274,336,274,336,290,192,290,0.9934808
192,254,384,254,384,270,192,270,0.993072
192,293,432,293,432,308,192,308,0.9927469
272,221,336,221,336,241,272,241,0.99273384
